ProductName;PredictionCategory;PredictionSubcategory;OrderDate
Mountain-200 Black, 42;Bikes;Mountain Bikes;02.01.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;08.01.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;20.01.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;20.01.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;21.01.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;24.01.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;24.01.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;30.01.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;31.01.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;05.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;06.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;08.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;10.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;12.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;12.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;13.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;20.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;21.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;24.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;26.02.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;06.03.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;07.03.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;10.03.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;14.03.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;15.03.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;18.03.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;20.03.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;23.03.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;26.03.2018
Mountain-200 Black, 42;Bikes;Mountain Bikes;26.03.2018
Road-650 Black, 58;Bikes;Road Bikes;02.01.2018
Road-650 Black, 58;Bikes;Road Bikes;06.01.2018
Road-650 Black, 58;Bikes;Road Bikes;18.01.2018
Road-650 Black, 58;Bikes;Road Bikes;19.01.2018
Road-650 Black, 58;Bikes;Road Bikes;25.01.2018
Road-650 Black, 58;Bikes;Road Bikes;30.01.2018
Road-650 Black, 58;Bikes;Road Bikes;03.02.2018
Road-650 Black, 58;Bikes;Road Bikes;09.02.2018
Road-650 Black, 58;Bikes;Road Bikes;19.02.2018
Road-650 Black, 58;Bikes;Road Bikes;01.03.2018
Road-650 Black, 58;Bikes;Road Bikes;27.03.2018
Road-650 Black, 58;Bikes;Road Bikes;27.03.2018
Road-650 Red, 52;Bikes;Road Bikes;02.01.2018
Road-650 Red, 52;Bikes;Road Bikes;11.01.2018
Road-650 Red, 52;Bikes;Road Bikes;12.01.2018
Road-650 Red, 52;Bikes;Road Bikes;14.01.2018
Road-650 Red, 52;Bikes;Road Bikes;13.02.2018
Road-650 Red, 52;Bikes;Road Bikes;27.02.2018
